timestamp,Open,high,low,Close,Volume,price,label
2019-12-31 23:00:00,1.12122,1.12165,1.12081,1.12146,3031,1.12146,0
2020-01-02 00:00:00,1.12146,1.12218,1.1214,1.12188,2701,1.12188,0
2020-01-02 01:00:00,1.12188,1.12191,1.12157,1.12183,1603,1.12183,0
2020-01-02 02:00:00,1.12183,1.12245,1.1218,1.1221,2740,1.1221,0
2020-01-02 03:00:00,1.12209,1.12246,1.12183,1.12223,1732,1.12223,0
2020-01-02 04:00:00,1.12224,1.12232,1.12124,1.12133,2183,1.12133,0
2020-01-02 05:00:00,1.12133,1.12145,1.12009,1.12011,2796,1.12011,0
2020-01-02 06:00:00,1.12012,1.12044,1.12009,1.12044,2540,1.12044,0
2020-01-02 07:00:00,1.12044,1.12077,1.12037,1.12074,2750,1.12074,0
2020-01-02 08:00:00,1.12075,1.12102,1.12043,1.12099,3366,1.12099,0
2020-01-02 09:00:00,1.12099,1.12138,1.12051,1.1212,3853,1.1212,0
2020-01-02 10:00:00,1.1212,1.1214,1.12012,1.1203,2952,1.1203,0
2020-01-02 11:00:00,1.12031,1.12039,1.11928,1.11983,2687,1.11983,0
2020-01-02 12:00:00,1.11983,1.12022,1.11842,1.11848,3414,1.11848,0
2020-01-02 13:00:00,1.11847,1.11943,1.1183,1.11929,2933,1.11929,0
2020-01-02 14:00:00,1.11929,1.11971,1.11896,1.11963,3592,1.11963,0
2020-01-02 15:00:00,1.11962,1.11965,1.11701,1.1174,3641,1.1174,0
2020-01-02 16:00:00,1.1174,1.12024,1.11709,1.12006,3415,1.12006,0
2020-01-02 17:00:00,1.12006,1.12031,1.11652,1.11663,3061,1.11663,0
2020-01-02 18:00:00,1.11664,1.11719,1.11635,1.11699,3380,1.11699,0
2020-01-02 19:00:00,1.117,1.11723,1.11637,1.11702,3030,1.11702,0
2020-01-02 20:00:00,1.11703,1.11704,1.11643,1.11663,2513,1.11663,0
2020-01-02 21:00:00,1.11662,1.11717,1.11659,1.11693,3990,1.11693,0
2020-01-02 22:00:00,1.11692,1.11734,1.1169,1.11725,1396,1.11725,0
2020-01-02 23:00:00,1.11719,1.11728,1.1169,1.11714,1197,1.11714,0
2020-01-03 00:00:00,1.11713,1.11735,1.11703,1.11709,1006,1.11709,0
2020-01-03 01:00:00,1.1171,1.1176,1.11697,1.11755,1601,1.11755,0
2020-01-03 02:00:00,1.11754,1.11785,1.11723,1.11736,3089,1.11736,0
2020-01-03 03:00:00,1.11736,1.11775,1.11718,1.11726,2659,1.11726,0
